,Date,Open,High,Low,Close,Adj Close,Volume,sentiment_score
0,2011-01-03,11.63,11.795,11.601429,11.770357,9.964778,445138400,0.13033750000000002
1,2011-01-04,11.872857,11.875,11.719643,11.831786,10.016786,309080800,0.1296
2,2011-01-05,11.769643,11.940714,11.767857,11.928571,10.09872,255519600,-0.006949999999999999
3,2011-01-06,11.954286,11.973214,11.889286,11.918929,10.090557,300428800,0.03728222222222221
4,2011-01-07,11.928214,12.0125,11.853571,12.004286,10.162822,311931200,0.10963461538461537
5,2011-01-10,12.101071,12.258214,12.041786,12.230357,10.354216,448560000,0.0920030303030303
6,2011-01-11,12.317143,12.32,12.123929,12.201429,10.329724,444108000,0.0449093023255814
7,2011-01-12,12.258929,12.301071,12.214286,12.300714,10.413775,302590400,0.17517500000000003
8,2011-01-13,12.327143,12.38,12.280357,12.345714,10.451876,296780400,0.11995744680851067
9,2011-01-14,12.353214,12.445714,12.301429,12.445714,10.536534,308840000,0.12235813953488373
10,2011-01-18,11.768571,12.312857,11.642857,12.166071,10.299788,1880998000,0.1575795918367347
11,2011-01-19,12.441071,12.45,12.031429,12.101429,10.245062,1135612800,0.10770980392156862
12,2011-01-20,12.015357,12.082143,11.79,11.881429,10.058813,764789200,-0.0775816326530612
13,2011-01-21,11.920357,11.96,11.665357,11.668571,9.878601,754401200,0.08713278688524592
14,2011-01-24,11.673929,12.051786,11.668571,12.051786,10.20304,574683200,0.12641785714285717
15,2011-01-25,12.011786,12.194286,11.948929,12.192857,10.322471,546868000,0.11611960784313727
16,2011-01-26,12.248571,12.342857,12.196429,12.280357,10.396544,506875600,-0.0321076923076923
17,2011-01-27,12.277857,12.310357,12.243929,12.2575,10.377192,285026000,0.03179090909090907
18,2011-01-28,12.291786,12.3,11.911786,12.003571,10.162215,592057200,0.06340263157894736
19,2011-01-31,11.992857,12.144286,11.939286,12.118571,10.259574,377246800,0.08143728813559323
20,2011-02-01,12.189286,12.344643,12.177857,12.3225,10.432221,426633200,0.04141304347826087
21,2011-02-02,12.301786,12.330357,12.269643,12.297143,10.410752,258955200,0.10822666666666667
22,2011-02-03,12.278571,12.294286,12.091071,12.265714,10.384147,393797600,0.09130833333333328
23,2011-02-04,12.272857,12.382143,12.268214,12.375,10.476669,321840400,0.08314444444444444
24,2011-02-07,12.424643,12.616071,12.415714,12.567143,10.639337,485021600,0.2134709090909091
25,2011-02-08,12.631429,12.697143,12.576786,12.685714,10.739719,381040800,0.15908399999999998
26,2011-02-09,12.685357,12.821429,12.673929,12.791429,10.829216,482745200,0.11015918367346941
27,2011-02-10,12.763929,12.857143,12.428571,12.662143,10.719764,928550000,0.132854
28,2011-02-11,12.669643,12.778571,12.626429,12.744643,10.78961,367572800,0.1099951219512195
29,2011-02-14,12.7425,12.838571,12.739643,12.827857,10.860058,310416400,0.17285185185185184
30,2011-02-15,12.828214,12.856071,12.769643,12.853571,10.881828,284174800,0.09021707317073169
31,2011-02-16,12.885714,13.032143,12.875,12.968929,10.979492,481157600,-0.0328813953488372
32,2011-02-17,12.758929,12.866786,12.732857,12.796429,10.833448,530583200,-0.019118181818181815
33,2011-02-18,12.811071,12.839286,12.482857,12.52,10.599429,816057200,0.038544999999999996
34,2011-02-22,12.219643,12.335714,12.061429,12.093214,10.238108,872555600,-0.04644186046511629
35,2011-02-23,12.098929,12.308571,12.093214,12.236429,10.359354,671854400,-0.1629951219512195
36,2011-02-24,12.286429,12.326786,12.084643,12.245714,10.367211,499900800,0.10108918918918917
37,2011-02-25,12.330714,12.443929,12.314286,12.434286,10.526861,380018800,0.07031290322580645
38,2011-02-28,12.544286,12.680357,12.54,12.614643,10.679553,403074000,0.10689000000000001
39,2011-03-01,12.695357,12.704286,12.417143,12.475357,10.56163,456136800,0.03323260869565217
40,2011-03-02,12.498571,12.655357,12.442857,12.575714,10.646593,602590800,0.11973783783783781
41,2011-03-03,12.756786,12.849643,12.711429,12.841429,10.871548,500788400,0.109431914893617
42,2011-03-04,12.859643,12.8675,12.776786,12.857143,10.884851,453266800,0.018650000000000003
43,2011-03-07,12.907143,12.916786,12.546786,12.691429,10.744558,546123200,0.1823491525423729
44,2011-03-08,12.675357,12.764286,12.580357,12.705714,10.756649,356316800,0.14123409090909092
45,2011-03-09,12.6675,12.67,12.521429,12.588214,10.657175,453306000,0.077775
46,2011-03-10,12.468571,12.491786,12.317857,12.381071,10.481811,507539200,0.05267599999999999
47,2011-03-11,12.333214,12.582857,12.321429,12.571071,10.64266,471080400,0.097275
48,2011-03-14,12.613571,12.731429,12.546786,12.627143,10.690134,435957200,-0.08175686274509804
49,2011-03-15,12.217857,12.422857,12.146429,12.336786,10.444318,721081200,-0.08268157894736841
50,2011-03-16,12.214286,12.25,11.652143,11.786071,9.97808,1162011200,-0.059133333333333336
51,2011-03-17,12.029643,12.128929,11.809286,11.951429,10.118073,659422400,-0.008297916666666672
52,2011-03-18,12.040357,12.078571,11.785714,11.809643,9.998036,753214000,0.010400000000000003
53,2011-03-21,11.999643,12.133571,11.973571,12.117857,10.258971,409402000,-0.026543859649122804
54,2011-03-22,12.234286,12.236429,12.112143,12.185714,10.316422,325922800,0.09562558139534884
55,2011-03-23,12.117143,12.150714,11.998214,12.113929,10.255644,372996400,0.02459166666666668
56,2011-03-24,12.208929,12.357143,12.102143,12.320357,10.430408,404712000,0.13229375000000002
57,2011-03-25,12.431071,12.573571,12.393571,12.555,10.62906,448910000,0.06190487804878049
58,2011-03-28,12.6125,12.654286,12.515714,12.515714,10.595798,309355200,0.1670803921568627
59,2011-03-29,12.416429,12.534286,12.359286,12.534286,10.611522,352900800,-0.06673636363636365
60,2011-03-30,12.522857,12.531429,12.408571,12.451071,10.541071,329406000,0.03040363636363636
61,2011-03-31,12.37,12.492857,12.359286,12.446786,10.537442,274019200,0.0482909090909091
62,2011-04-01,12.539643,12.556786,12.260714,12.305714,10.418014,418661600,0.049402083333333346
63,2011-04-04,12.296786,12.307143,12.085714,12.185357,10.316116,460084800,0.07661111111111112
64,2011-04-05,12.035357,12.223214,12.0,12.103214,10.246572,482731200,0.10887857142857146
65,2011-04-06,12.186429,12.282143,12.040714,12.072857,10.220874,402539200,0.19570285714285712
66,2011-04-07,12.075,12.158214,12.001071,12.074286,10.222083,373447200,0.09392083333333333
67,2011-04-08,12.14,12.148214,11.926786,11.966429,10.130769,377535200,-0.047310714285714275
68,2011-04-11,11.930714,11.988214,11.786429,11.814286,10.001969,398946800,0.08073043478260868
69,2011-04-12,11.803214,11.918929,11.792857,11.871429,10.050344,425639200,-0.002228947368421045
70,2011-04-13,11.965,12.005,11.875714,12.004643,10.163127,346220000,-0.07810888888888888
71,2011-04-14,11.957143,12.0,11.859286,11.872143,10.050946,301800800,0.0367857142857143
72,2011-04-15,11.903571,11.915714,11.671429,11.695,9.90098,453605600,0.09523249999999998
73,2011-04-18,11.646429,11.865357,11.434286,11.851786,10.033717,609898800,0.19013518518518516
74,2011-04-19,11.896429,12.070714,11.846786,12.066429,10.215431,419378400,0.058447222222222234
75,2011-04-20,12.268214,12.348214,12.196429,12.228929,10.353004,700666400,0.079675
76,2011-04-21,12.678571,12.683214,12.447143,12.525,10.60366,753810400,0.08299705882352942
77,2011-04-25,12.512143,12.633929,12.510714,12.6075,10.673502,266546000,0.10385576923076921
