Date,Open,High,Low,Close,Adj Close,Volume
2011-01-03,11.630000,11.795000,11.601429,11.770357,9.964778,445138400
2011-01-04,11.872857,11.875000,11.719643,11.831786,10.016786,309080800
2011-01-05,11.769643,11.940714,11.767857,11.928571,10.098720,255519600
2011-01-06,11.954286,11.973214,11.889286,11.918929,10.090557,300428800
2011-01-07,11.928214,12.012500,11.853571,12.004286,10.162822,311931200
2011-01-10,12.101071,12.258214,12.041786,12.230357,10.354216,448560000
2011-01-11,12.317143,12.320000,12.123929,12.201429,10.329724,444108000
2011-01-12,12.258929,12.301071,12.214286,12.300714,10.413775,302590400
2011-01-13,12.327143,12.380000,12.280357,12.345714,10.451876,296780400
2011-01-14,12.353214,12.445714,12.301429,12.445714,10.536534,308840000
2011-01-18,11.768571,12.312857,11.642857,12.166071,10.299788,1880998000
2011-01-19,12.441071,12.450000,12.031429,12.101429,10.245062,1135612800
2011-01-20,12.015357,12.082143,11.790000,11.881429,10.058813,764789200
2011-01-21,11.920357,11.960000,11.665357,11.668571,9.878601,754401200
2011-01-24,11.673929,12.051786,11.668571,12.051786,10.203040,574683200
2011-01-25,12.011786,12.194286,11.948929,12.192857,10.322471,546868000
2011-01-26,12.248571,12.342857,12.196429,12.280357,10.396544,506875600
2011-01-27,12.277857,12.310357,12.243929,12.257500,10.377192,285026000
2011-01-28,12.291786,12.300000,11.911786,12.003571,10.162215,592057200
2011-01-31,11.992857,12.144286,11.939286,12.118571,10.259574,377246800
2011-02-01,12.189286,12.344643,12.177857,12.322500,10.432221,426633200
2011-02-02,12.301786,12.330357,12.269643,12.297143,10.410752,258955200
2011-02-03,12.278571,12.294286,12.091071,12.265714,10.384147,393797600
2011-02-04,12.272857,12.382143,12.268214,12.375000,10.476669,321840400
2011-02-07,12.424643,12.616071,12.415714,12.567143,10.639337,485021600
2011-02-08,12.631429,12.697143,12.576786,12.685714,10.739719,381040800
2011-02-09,12.685357,12.821429,12.673929,12.791429,10.829216,482745200
2011-02-10,12.763929,12.857143,12.428571,12.662143,10.719764,928550000
